text,image,likes,comments,shares
"['1840s', 'advocating', 'hand', 'washing', 'even', 'cost', 'doctor', 'career', 'Wash', 'hand', 'controversial', 'medical', 'advice']",1,689,19,187
"['commentary', 'make', 'day']",0,4726,202,0
"['orange', 'trail', 'poop', 'reveals', 'unlikely', 'ally', 'one', 'coffee', 'worst', 'threat', 'invasive', 'snail', 'could', 'save', 'coffee', 'destruction']",1,890,26,116
"['father', 'memorial', 'buildingwide', 'singalong', 'phone', 'call', 'stranger', 'photographer', 'document', 'strange', 'suspended', 'state', 'life', 'country', 'like', 'scary', 'movie', 'Coronavirus', 'forced', 'Iran', 'take', 'hard', 'pause']",1,1287,35,150
"['Shot', 'photographer', 'Aarzoo', 'Khurana', 'captured', 'interaction', 'black', 'bird', 'deer', 'Ranthambore', 'National', 'Park', 'India']",1,29013,349,0
"['Venturing', 'see', 'fleeting', 'bloom', 'not', 'advisable', 'due', 'coronavirus', 'pandemic', 'still', 'experience', 'peak', 'bloom', 'comfort', 'home', 'via', 'livestream', '25', 'gorgeous', 'photo', 'cherry', 'blossom']",1,4146,90,1001
"['Blending', 'famous', 'grotesque', 'Madame', 'Tussauds', 'wax', 'museum', 'inspire', 'fascination', 'today', 'England', '19th', 'century', 'Madame', 'Tussaud', 'built', 'house', 'wax']",1,1232,30,158
"['Reintroduced', 'Yellowstone', 'mid1990s', '70year', 'absence', 'wolf', 'thrived', 'Photographer', 'Ronan', 'Donovan', 'spent', '2015', 'living', 'national', 'park', 'chronicling', 'life', 'iconic', 'specie', 'Photographer', 'Ronan', 'Donovan', 'Yellowstone']",1,5730,88,515
"['risk', 'exposing', 'people', 'group', 'coronavirus', 'go', 'exponentially', 'event', 'size', 'See', 'keeping', 'group', 'small', 'save', 'life', 'era', 'COVID19']",1,4268,124,1676
"['Discover', 'history', 'Resurrection', 'Islandand', 'nature', 'incredible', 'ability', 'bounce', 'back', 'httpsonnatgeocom2Jd0ejt']",0,8133,128,0
"['Experts', 'say', 'there', 'no', 'reason', 'time', 'believe', 'COVID19', 'could', 'spread', 'blood', 'normal', 'course', 'organ', 'transplantation', 'Blood', 'organ', 'donation', 'shrink', 'amid', 'coronavirus', 'fear']",1,1456,88,235
"['snowy', 'topography', 'Banff', 'Canada', 'accentuated', 'sun', 'shadow', 'tranquil', 'image', 'photographer', 'Barry', 'Chen']",1,19271,232,0
"['goddess', 'Isis', 'divine', 'protector', 'dead', 'first', 'worshipped', 'Nile', 'Delta', 'originated', 'grew', 'become', 'important', 'deity', 'whole', 'ancient', 'Egypt', 'Worship', 'Egyptian', 'goddess', 'spread', 'Egypt', 'England']",1,2533,88,459
"['herd', 'immunity', 'establishing', 'difficult', 'new', 'coronavirus', 'UK', 'backed', 'herd', 'immunity', 'beat', 'COVID19', 'well', 'ultimately', 'need']",1,3609,232,961
"['virtual', 'map', 'mouse', 'brain', 'magnifies', 'way', 'one', 'thousandth', 'millimeter', '0000039', 'inch', 'Mouse', 'Brain', 'Map', 'Reveals', 'Tiny', 'Communication', 'Network']",1,1622,33,136
"['coronavirus', 'pandemic', 'encouraging', 'Americans', 'head', 'great', 'outdoors', 'run', 'contrary', 'ongoing', 'closure', 'public', 'concernsand', 'official', 'guidance', 'National', 'park', 'waived', 'fee', 'think', 'twice', 'visiting']",1,2696,96,233
"['Water', 'monitor', 'intelligent', 'lizard', 'worldand', 'grow', 'seven', 'foot', 'long']",0,6211,188,0
"['luxury', 'live', 'reef', 'fish', 'market', 'threatens', 'humphead', 'wrasse', 'Could', 'unique', 'eyelash', 'help', 'save', 'king', 'coral', 'reef', 'disappearing', 'Heres']",1,3638,42,351
"['Flowing', 'line', 'Chureito', 'Pagoda', 'cherry', 'blossom', 'tree', 'frame', 'Mt', 'Fuji', 'image', 'taken', 'Japan', 'venturing', 'see', 'fleeting', 'bloom', 'year', 'not', 'advisable', 'due', 'coronavirus', 'pandemic', 'still', 'enjoy', 'beauty', 'photography', 'httpsonnatgeocom3a6wQIh']",1,12550,173,0
"['No', 'dolphin', 'not', 'swimming', 'canal', 'Venice', 'Id', 'encourage', 'people', 'share', 'positive', 'thing', 'doesnt', 'anything', 'dramatic', 'true', 'Fake', 'animal', 'news', 'abounds', 'social', 'medium', 'coronavirus', 'upends', 'life']",1,31198,1940,39683
"['Social', 'distancing', 'test', 'limit', 'wanderlustbut', 'way', 'cope', 'Youve', 'cancel', 'vacation', 'Heres', 'next']",1,1345,74,119
"['Nowruz', 'also', 'known', 'Persian', 'New', 'Year', 'observed', '3000', 'year', 'victory', 'spring', 'darkness', 'ancient', 'festival', 'celebration', 'springtimeand', 'brand', 'new', 'year']",1,2471,83,459
"['help', 'remoteoperated', 'vehicle', 'see', 'decade', 'worth', 'ocean', 'life', 'look', 'like']",0,4918,88,0
"['Scientists', 'agree', 'amphibian', 'trouble', 'real', 'limit', 'know', 'say', 'may', 'know', 'le', 'amphibian', 'apocalypse', 'thought']",1,3044,37,316
"['lion', 'cub', 'play', 'lioness', 'early', 'morning', 'Masai', 'Mara', 'Kenya', 'shot', 'captured', 'Shot', 'photographer', 'NiStar', 'Ps']",1,13690,121,0
"['hyperactive', 'volcanic', 'region', 'like', 'Yellowstone', 'exact', 'cause', 'specific', 'movement', 'difficult', 'pin', 'recent', 'study', 'may', 'shed', 'light', 'one', 'pocket', 'land', 'seemingly', 'breathing', 'chunk', 'Yellowstone', 'size', 'Chicago', 'pulsing']",1,4713,528,2268
"['Vampire', 'bat', 'already', 'known', 'highly', 'socialmaintaining', 'decadelong', 'relationshipsbut', 'scientist', 'know', 'connection', 'begin', 'vampire', 'bat', 'friendship', 'surprisingly', 'like']",1,2103,113,325
"['Everyone', 'want', 'know', 'many', 'people', 'many', 'exact', 'size', 'group', 'far', 'factor', 'matter', 'assessing', 'infection', 'risk', 'Whats', 'safest', 'gathering', 'size', 'slow', 'coronavirus', 'not', 'one']",1,1807,117,264
"['adult', 'giraffe', 'powerful', 'enough', 'kill', 'lion', 'single', 'kickbut', 'not', 'stop', 'attempted', 'ambush', 'Lions', 'cling', 'giraffe', 'back', 'risky', 'attack']",1,2378,107,277
"['Baked', 'Alaska', 'London', 'broil', 'Chicken', 'Kiev', 'Sometimes', 'name', 'dish', 'get', 'lost', 'translation', 'food', 'named', 'place']",1,1225,61,148
"['shared', 'video', 'theyll', 'make', 'heart', 'burst']",0,27066,1151,0
"['specific', 'population', 'longtoed', 'salamander', 'much', 'larger', 'head', 'jaw', 'normal', 'serve', 'specific', 'purpose', 'cannibalism', 'Meet', 'shapeshifting', 'baby', 'amphibian', 'turn', 'cannibal']",1,1337,24,213
"['Air', 'kiss', 'Namaste', 'readersuggested', 'way', 'greet', 'around', 'handshake', 'alternative', 'suggested', 'reader']",1,4083,329,1452
"['Shot', 'photographer', 'Thomas', 'C', 'waited', 'hour', 'capture', 'beautiful', 'moment', 'black', 'skimmer', 'colony', 'Florida']",1,19458,511,0
"['early', 'ancestor', 'duck', 'chicken', 'waddled', 'along', 'shore', 'modernday', 'Europe', 'asteroid', 'impact', 'caused', 'global', 'extinction', 'event', 'wonderchicken', 'walked', 'Earth', 'dinosaur']",1,5105,82,581
"['Bleach', 'Clorox', 'Dish', 'soap', 'Heres', 'expert', 'say', 'soap', 'still', 'best', 'tool', 'easily', 'sanitizing', 'surface', 'soap', 'preferable', 'bleach', 'fight', 'coronavirus']",1,7599,239,4785
"['amount', 'anxiety', 'good', 'face', 'disaster', 'panic', 'doesnt', 'help', 'much', 'longterm', 'threatsand', 'body', 'arent', 'made', 'live', 'acute', 'stress', 'anxiety', 'week', 'month', 'Panic', 'spreading', 'like', 'coronavirus', 'Heres', 'evolved', 'feel', 'anxiety']",1,2019,200,471
"['Witness', 'eerily', 'beautiful', 'growth', 'larva', 'bee', 'mesmerizing', 'timelapse', 'video', 'Amazing', 'TimeLapse', 'Bees', 'Hatch', 'Eyes']",1,6280,232,2979
"['Enjoy', 'beauty', 'outdoors', 'image', 'pattern', 'nature', 'Flower', 'Patterns', 'Nature', 'Photo', 'Gallery']",1,7548,122,1607
"['Not', 'long', 'ago', 'South', 'Georgias', 'fur', 'seal', 'massacrednearly', 'driven', 'extinction', 'theyre', 'thriving', 'httpsonnatgeocom2O6Km7M']",0,24386,892,0
"['1900s', 'New', 'York', 'cook', 'named', 'Mary', 'Mallon', 'demonstrated', 'unwitting', 'carrier', 'could', 'root', 'disease', 'outbreak', 'Typhoid', 'Marys', 'tragic', 'tale', 'exposed', 'health', 'impact', 'superspreaders']",1,5218,209,2831
"['Gentoo', 'penguin', 'walk', 'edge', 'ice', 'Antarctica', 'allowing', 'Shot', 'photographer', 'Jonas', 'Beyer', 'capture', 'unique', 'split', 'photo']",1,7087,62,0
"['Wolves', 'among', 'planet', 'beststudied', 'animal', 'yet', 'boreal', 'forest', 'habit', 'remained', 'relatively', 'mysterious', 'secret', 'life', 'fisheating', 'beaverambushing', 'wolf', 'Minnesota']",1,3584,44,238
"['St', 'Patricks', 'Day', 'celebrated', 'century', 'holiday', 'origin', 'exactly', 'St', 'Patrick', 'Saint', 'Patrick', 'day']",1,2259,98,683
"['Sam', 'Abell', 'knew', 'would', 'need', 'luck', 'Irish', 'hope', 'photographing', 'country', 'National', 'Geographic', '1994', 'Beauty', 'Ireland', 'Captured', 'Enchanting', 'Photos']",1,9808,193,1639
"['black', 'Jacobin', 'hummingbird', 'song', 'frequency', '10', 'kHz', 'top', 'range', 'human', 'hear', 'bird', 'known', 'hear', 'Hummingbird', 'Makes', 'HighestPitched', 'Call', 'Bird']",1,6092,70,901
"['get', 'naturally', 'social', 'kid', 'practice', 'social', 'distancing', 'Coronavirus', 'family', 'survival', 'guide']",1,995,70,222
"['animal', 'navigate', 'night']",0,1616,44,0
"['Pust', 'prevailed', 'become', 'one', 'Slovenias', 'biggest', 'cultural', 'event', 'quite', 'spectacle', 'Locals', 'dress', 'elaborate', 'handmade', 'costume', 'mask', 'walk', 'shimmy', 'town', 'scare', 'away', 'vestige', 'winter', 'clear', 'way', 'spring', 'Slovenias', 'Shrovetide', 'tradition', 'celebrates', 'Carnival', 'monster', 'mask', 'parade']",1,1454,47,181
"['Harriet', 'Chalmers', 'Adams', 'female', 'journalist', 'allowed', 'French', 'frontlines', 'WWI', 'spent', 'life', 'traveling', 'world', 'remote', 'place', 'promoting', 'fellow', 'female', 'explorer', '40000mile', 'journey', 'nothing', '19thcentury', 'female', 'explorer']",1,2069,39,387
"['Indias', 'national', 'bird', 'Indian', 'peafowl', 'display', 'brilliant', 'feather', 'portrait', 'Shot', 'photographer', 'Sumana', 'Kondoju']",1,13939,194,0
"['Aztec', 'midwifeor', 'tlamatlquiticitlinstituted', 'remarkable', 'birthing', 'plan', 'including', 'practical', 'care', 'drug', 'pain', 'relief', 'religious', 'ceremony', 'Call', 'Aztec', 'Midwife', 'Childbirth', '16th', 'Century']",1,2818,93,479
"['cannot', 'go', 'St', 'Patricks', 'Day', 'go', 'back', 'time', 'favorite', 'vintage', 'photo', 'charming', 'Emerald', 'Isle', 'St', 'Patricks', 'Day', '17', 'Pictures', 'Transport', 'Ireland']",1,3485,104,693
"['bond', 'albatross', 'last', 'decade', 'every', 'year', 'return', 'colony']",0,10249,142,0
"['tree', 'teach', 'u', 'starter', 'inspire', 'u', 'comfort', 'u', 'remind', 'u', 'life', 'move', 'Learn', 'Trees']",1,4380,70,568
"['know', 'Unlike', 'carnivore', 'get', 'sodium', 'meat', 'butterfly', 'find', 'sourceslike', 'turtle', 'tear', 'Know', 'Butterflies', 'Drink', 'Turtle', 'Tears']",1,27698,1167,28008
"['Considered', 'messenger', 'god', 'macaque', 'made', 'wear', 'costume', 'backflips', 'walk', 'stilt', 'please', 'crowd', 'Circuslike', 'performance', 'snow', 'monkey', 'Japan', 'contradict', 'longrevered', 'status']",1,2897,426,716
"['Barbara', 'Washburn', 'selfdescribed', 'accidental', 'mountaineer', 'spent', '40', 'year', 'mapping', 'remote', 'corner', 'US', 'mapped', 'Grand', 'Canyon', 'forgotten', 'female', 'mountaineer']",1,16059,178,8435
"['Even', 'bestplanned', 'trip', 'get', 'disrupted', 'illness', 'accident', 'world', 'event', 'Travel', 'insurance', 'helpbut', 'read', 'fine', 'print', 'travel', 'insurance', 'canand', 'canthelp', 'plan', 'change']",1,1072,30,120
"['story', 'dream', 'hope', 'achieving', 'something', 'bigger', 'ordinary', 'life', 'would', 'Kibera', 'Nairobis', 'Largest', 'Slum', 'Young', 'Ballerinas', 'Dream', 'Big']",1,7399,131,1204
"['average', 'home', 'contains', '61', 'distinct', 'arthropod', 'familiessome', 'could', 'live', 'entire', 'life', 'indoors', 'Wealthier', 'Homes', 'Kinds', 'Bugs']",1,1690,83,411
"['Echinopsis', 'cactus', 'flower', 'bloom', 'overnightand', 'last', 'day', 'httponnatgeocom2dWDPf1']",0,48229,2285,0
"['full', '30', 'percent', 'female', 'anaconda', 'bodyweight', 'go', 'making', 'babiesso', 'extra', 'kilo', 'meat', 'strangled', 'mate', 'good', 'protein', 'expecting', 'mother', 'Female', 'Anaconda', 'Strangles', 'Male', 'Sex']",1,6358,761,1722
"['Christine', 'de', 'Pisan', 'upended', 'medieval', 'norm', 'not', 'refusing', 'remarry', 'also', 'first', 'woman', 'make', 'living', 'writer', 'single', 'working', 'mom', 'Europes', 'first', 'professional', 'woman', 'writer']",1,2576,44,560
"['Maybe', 'met', 'pi', 'grade', 'school', 'Maybe', 'not', 'appreciate', 'Get', 'know', 'magical', 'practical', 'number', 'go', 'forever', 'Pi', 'Day', 'Pi', 'Deserves', 'Day', 'Help', 'Find', 'Best', 'Pizza', 'Deal']",1,1231,49,201
"['certain', 'profession', 'community', 'public', 'health', 'recommendation', 'difficult', 'not', 'impossible', 'follow', 'people', 'vulnerable', 'catching', 'coronavirus']",1,2600,107,503
"['snowy', 'owlet', 'laying', 'top', 'ridge', 'Arctic', 'tundra', 'writes', 'Fred', 'Lemire', 'experience', 'photographing', 'Iqaluit', 'Nunavut']",1,11444,94,0
"['Albert', 'Einsteins', 'birthday', 'get', 'know', 'lesser', 'known', 'facet', 'famous', 'physicist', 'life', '10', 'Things', 'Probably', 'Didnt', 'Know', 'Einstein']",1,2664,97,661
"['17thcentury', 'European', 'plague', 'physician', 'wore', 'beaked', 'mask', 'leather', 'glove', 'long', 'coat', 'attempt', 'fend', 'disease', 'iconic', 'ominous', 'look', 'recognizable', 'day', 'plague', 'doctor', 'wore', 'strange', 'beaked', 'mask']",1,7356,272,2952
"['dirty', 'fish', 'get', 'clean', 'signaling', 'shrimp', 'help']",0,27028,876,0
"['first', 'time', 'no', 'one', 'summit', 'world', 'highest', 'mountain', 'since', 'massive', 'earthquake', 'closed', 'peak', '2015', 'COVID19', 'shuts', 'Everest']",1,2909,206,701
"['Great', 'white', 'pelican', 'dive', 'food', 'actionpacked', 'image', 'Shot', 'photographer', 'Yuki', 'Nakagawa']",1,9163,113,0
"['Months', 'testing', 'confirmed', 'fragment', 'modern', 'forgery', 'duped', 'outside', 'collector', 'museum', 'founder', 'world', 'leading', 'biblical', 'scholar', 'happens', 'next', 'Exclusive', 'Dead', 'Sea', 'Scrolls', 'Museum', 'Bible', 'forgery']",1,3683,487,2705
"['One', 'popular', 'theory', 'handshake', 'origin', 'Grasping', 'hand', 'proved', 'not', 'holding', 'weaponand', 'shaking', 'way', 'ensure', 'partner', 'nothing', 'hiding', 'sleeve', 'touch', 'stranger', 'much', 'history', 'handshake', 'offer', 'clue']",1,1332,64,377
"['Friday', '13th', 'no', 'better', 'day', 'explore', 'mythical', 'beast', 'legend', 'around', 'world', 'imaginary', 'beast', 'fueled', 'nightmare', 'around', 'world']",1,4903,53,683
"['tiny', 'freshwater', 'fish', 'life', 'mostly', 'mainland', 'Brazil', 'stable', 'population', 'found', 'Fernando', 'de', 'Noronha', 'archipelago', 'located', '200', 'mile', 'away', 'Tiny', 'Guppy', 'Mysteriously', 'Traveled', 'Hundreds', 'Miles']",1,4071,96,312
"['Stay', 'calm', 'truthful', 'tip', 'answering', 'child', 'question', 'coronavirus', 'Talking', 'kid', 'coronavirus']",1,1393,107,477
"['Sit', 'back', 'moment', 'watchand', 'listen', 'toa', 'fox', 'prowl', 'Yellowstone', 'National', 'Park']",0,34281,1206,0
"['Italy', 'acting', 'contain', 'pandemic', 'despite', 'crushing', 'certainty', 'financial', 'disaster', 'Heres', 'Venice', 'copingcautiouslywith', 'coronavirus', 'Venice', 'contending', 'coronavirus']",1,2381,129,320
"['nighttime', 'dive', 'Shot', 'photographer', 'Anand', 'Radhakrishan', 'came', 'across', 'colorful', 'squid']",1,49762,915,0
"['Cat', 'Tracker', 'project', 'singular', 'scalenearly', 'thousand', 'cat', 'across', 'four', 'country', 'wore', 'GPS', 'tracker', 'week', 'shed', 'light', 'far', 'range', 'go', 'Cat', 'Tracker', 'study', 'reveals', 'secret', 'wandering', '900', 'house', 'cat']",1,2874,293,554
"['final', 'stage', 'World', 'War', 'II', 'child', 'East', 'Prussia', 'separated', 'family', 'many', 'left', 'roam', 'unforgiving', 'forest', 'order', 'survive', 'forgotten', 'Wolf', 'Children', 'World', 'War', 'II']",1,2968,86,928
"['Deserts', 'ocean', 'tundra', 'forestswhich', 'incredible', 'landscape', 'inspires', '43', 'Stunning', 'Landscape', 'Photos']",1,9918,218,2149
"['bird', 'really', 'know', 'step', 'courtship', 'game']",0,30815,2309,0
"['mother', 'giraffewhich', 'gained', 'international', 'attention', '2017and', 'sevenmonthold', 'calf', 'likely', 'slain', 'poacher', 'say', 'wildlife', 'official', 'Two', 'rare', 'white', 'giraffe', 'killed', 'Kenya']",1,6490,1710,4113
"['bird', 'preens', 'along', 'shoreline', 'reflective', 'image', 'Shot', 'photographer', 'Roberto', 'Marchitelli']",1,17564,137,0
